ym,lawd_cd,sgg_nm,housing_type,n_sale,n_jeonse,median_sale_manwon,median_jeonse_manwon,median_sale_ppp,median_jeonse_ppp,jeonse_ratio_amount,jeonse_ratio_ppp
2021-08,11110,종로구,아파트,37,97,120000.0,49000.0,4091.0,2490.0,0.4083,0.6086
2021-08,11110,종로구,연립다세대,59,117,34000.0,25500.0,2174.0,1473.0,0.75,0.6773
2021-08,11140,중구,아파트,55,163,97000.0,57000.0,4382.0,2614.0,0.5876,0.5966
2021-08,11140,중구,연립다세대,25,90,29000.0,25000.0,2325.0,2922.0,0.8621,1.2567
2021-08,11170,용산구,아파트,84,267,156500.0,59850.0,6059.0,2617.0,0.3824,0.432
2021-08,11170,용산구,연립다세대,128,322,43400.0,23350.0,3651.0,2481.0,0.538,0.6795
2021-08,11200,성동구,아파트,161,461,141000.0,60000.0,5830.0,2728.0,0.4255,0.4679
2021-08,11200,성동구,연립다세대,26,105,40900.0,23000.0,3737.0,1965.0,0.5623,0.5258
2021-08,11215,광진구,아파트,75,245,134000.0,59850.0,5800.0,2621.0,0.4466,0.4519
2021-08,11215,광진구,연립다세대,181,501,34000.0,24150.0,2628.0,2324.0,0.7103,0.8845
2021-08,11230,동대문구,아파트,141,384,90000.0,42250.0,4081.0,2113.0,0.4694,0.5178
2021-08,11230,동대문구,연립다세대,76,203,33600.0,22000.0,2525.0,2213.0,0.6548,0.8765
2021-08,11260,중랑구,아파트,166,319,73500.0,35700.0,3422.0,1946.0,0.4857,0.5687
2021-08,11260,중랑구,연립다세대,136,302,25500.0,22000.0,2041.0,2162.0,0.8627,1.0589
2021-08,11290,성북구,아파트,266,541,88000.0,42000.0,3986.0,1966.0,0.4773,0.4932
2021-08,11290,성북구,연립다세대,155,290,30500.0,21750.0,2192.0,1778.0,0.7131,0.8112
2021-08,11305,강북구,아파트,109,153,73000.0,39900.0,3135.0,1850.0,0.5466,0.5901
2021-08,11305,강북구,연립다세대,272,248,21000.0,15875.0,1441.0,1095.0,0.756,0.7597
2021-08,11320,도봉구,아파트,137,347,65000.0,27000.0,3171.0,1431.0,0.4154,0.4514
2021-08,11320,도봉구,연립다세대,195,185,20700.0,15600.0,1420.0,1090.0,0.7536,0.7674
2021-08,11350,노원구,아파트,307,1055,67300.0,26250.0,3799.0,1584.0,0.39,0.4171
2021-08,11350,노원구,연립다세대,50,89,22250.0,14000.0,1569.0,1174.0,0.6292,0.7486
2021-08,11380,은평구,아파트,178,463,77500.0,37800.0,3711.0,1960.0,0.4877,0.5282
2021-08,11380,은평구,연립다세대,490,688,25500.0,19900.0,1907.0,1434.0,0.7804,0.7524
2021-08,11410,서대문구,아파트,163,338,93000.0,52500.0,4508.0,2334.0,0.5645,0.5177
2021-08,11410,서대문구,연립다세대,136,189,24000.0,19000.0,1637.0,1434.0,0.7917,0.8757
2021-08,11440,마포구,아파트,168,522,125000.0,57750.0,5518.0,2569.0,0.462,0.4655
2021-08,11440,마포구,연립다세대,183,477,33500.0,22000.0,2661.0,2247.0,0.6567,0.8443
2021-08,11470,양천구,아파트,150,780,87800.0,37900.0,4168.0,1853.0,0.4317,0.4444
2021-08,11470,양천구,연립다세대,231,540,23650.0,20945.0,1922.0,1776.0,0.8856,0.9238
2021-08,11500,강서구,아파트,316,908,88000.0,35700.0,4208.0,1939.0,0.4057,0.4609
2021-08,11500,강서구,연립다세대,433,907,23000.0,20000.0,1795.0,1954.0,0.8696,1.0882
2021-08,11530,구로구,아파트,246,505,69000.0,32500.0,3270.0,1640.0,0.471,0.5016
2021-08,11530,구로구,연립다세대,239,301,24000.0,20000.0,2054.0,1619.0,0.8333,0.7884
2021-08,11545,금천구,아파트,104,176,60000.0,30700.0,3011.0,1892.0,0.5117,0.6281
2021-08,11545,금천구,연립다세대,187,213,26000.0,22900.0,2207.0,2216.0,0.8808,1.0041
2021-08,11560,영등포구,아파트,174,502,99200.0,47000.0,4780.0,2135.0,0.4738,0.4466
2021-08,11560,영등포구,연립다세대,71,256,31000.0,24000.0,3496.0,2647.0,0.7742,0.7572
2021-08,11590,동작구,아파트,144,442,119500.0,59925.0,5008.0,2464.0,0.5015,0.4921
2021-08,11590,동작구,연립다세대,175,324,31000.0,25200.0,2255.0,1958.0,0.8129,0.8682
2021-08,11620,관악구,아파트,138,299,82000.0,45000.0,3852.0,2029.0,0.5488,0.5266
2021-08,11620,관악구,연립다세대,242,371,24000.0,23000.0,1656.0,2096.0,0.9583,1.2655
2021-08,11650,서초구,아파트,159,953,200000.0,51000.0,6567.0,2382.0,0.255,0.3627
2021-08,11650,서초구,연립다세대,231,445,40350.0,34600.0,4323.0,2710.0,0.8575,0.6269
2021-08,11680,강남구,아파트,194,992,199750.0,73500.0,7774.0,3120.0,0.368,0.4013
2021-08,11680,강남구,연립다세대,159,340,40150.0,31500.0,4469.0,2604.0,0.7846,0.5827
2021-08,11710,송파구,아파트,203,877,162000.0,62400.0,6556.0,2604.0,0.3852,0.3972
2021-08,11710,송파구,연립다세대,282,914,34925.0,24150.0,3315.0,1954.0,0.6915,0.5894
2021-08,11740,강동구,아파트,185,770,114800.0,43050.0,5133.0,2276.0,0.375,0.4433
2021-08,11740,강동구,연립다세대,182,572,30100.0,23500.0,2542.0,2511.0,0.7807,0.9882
2021-09,11110,종로구,아파트,33,60,35800.0,50000.0,4343.0,2308.0,1.3966,0.5314
2021-09,11110,종로구,연립다세대,39,72,37000.0,23550.0,2245.0,1397.0,0.6365,0.6224
2021-09,11140,중구,아파트,34,96,99250.0,57725.0,4739.0,2758.0,0.5816,0.582
2021-09,11140,중구,연립다세대,31,70,25500.0,25250.0,2814.0,2709.0,0.9902,0.9627
2021-09,11170,용산구,아파트,51,218,180000.0,57750.0,6613.0,2333.0,0.3208,0.3528
