ym,lawd_cd,sgg_nm,housing_type,deal_type,n_deals,n_cancelled,n_jeonse,n_wolse,n_new,n_renew,median_amount_manwon,median_price_per_pyeong,avg_area_m2,avg_build_year
2021-08,11110,종로구,아파트,매매,37,0,0,0,0,0,120000.0,4091.0,79.72,2006.0
2021-08,11110,종로구,아파트,전월세,166,0,97,69,92,54,39000.0,1834.0,72.01,2004.0
2021-08,11110,종로구,연립다세대,매매,59,1,0,0,0,0,34000.0,2174.0,60.81,2002.0
2021-08,11110,종로구,연립다세대,전월세,173,0,117,56,109,21,17850.0,1285.0,59.6,2000.0
2021-08,11140,중구,아파트,매매,55,0,0,0,0,0,97000.0,4382.0,75.33,2005.0
2021-08,11140,중구,아파트,전월세,321,0,163,158,141,96,30000.0,1656.0,64.62,2009.0
2021-08,11140,중구,연립다세대,매매,25,3,0,0,0,0,29000.0,2325.0,45.56,2003.0
2021-08,11140,중구,연립다세대,전월세,127,0,90,37,63,14,21000.0,2260.0,33.93,2010.0
2021-08,11170,용산구,아파트,매매,84,5,0,0,0,0,156500.0,6059.0,95.72,2000.0
2021-08,11170,용산구,아파트,전월세,439,0,267,172,178,184,45000.0,2034.0,82.5,2000.0
2021-08,11170,용산구,연립다세대,매매,128,10,0,0,0,0,43400.0,3651.0,49.16,2006.0
2021-08,11170,용산구,연립다세대,전월세,418,0,322,96,200,144,22000.0,1976.0,42.46,2009.0
2021-08,11200,성동구,아파트,매매,161,5,0,0,0,0,141000.0,5830.0,80.82,2004.0
2021-08,11200,성동구,아파트,전월세,750,0,461,289,327,228,47125.0,2087.0,75.51,2004.0
2021-08,11200,성동구,연립다세대,매매,26,1,0,0,0,0,40900.0,3737.0,38.78,2008.0
2021-08,11200,성동구,연립다세대,전월세,158,0,105,53,71,34,16400.0,1406.0,40.09,2005.0
2021-08,11215,광진구,아파트,매매,75,4,0,0,0,0,134000.0,5800.0,78.03,1998.0
2021-08,11215,광진구,아파트,전월세,370,0,245,125,187,128,50000.0,2244.0,74.84,2000.0
